ACCESSIONNUMBER	FILE_NUM	FILING_DATE	SIC_CODE	SCHEMAVERSION	SUBMISSIONTYPE	TESTORLIVE	OVER100PERSONSFLAG	OVER100ISSUERFLAG
0001932971-24-000001	021-450476               	31-DEC-2024		X0708	D/A	LIVE		
0002047909-24-000001	021-533945               	31-DEC-2024		X0708	D	LIVE		
0001960951-24-000001	021-533944               	31-DEC-2024		X0708	D	LIVE		
0001932972-24-000001	021-450473               	31-DEC-2024		X0708	D/A	LIVE		
0001932974-24-000001	021-450472               	31-DEC-2024		X0708	D/A	LIVE		
0000950123-24-012437	021-277137               	31-DEC-2024	0000	X0708	D/A	LIVE		
0001932975-24-000001	021-450471               	31-DEC-2024		X0708	D/A	LIVE		
0002050565-24-000001	021-533943               	31-DEC-2024		X0708	D	LIVE		
0002048696-24-000001	021-533942               	31-DEC-2024		X0708	D	LIVE		
0002018994-24-000002	021-533941               	31-DEC-2024		X0708	D	LIVE		
0001984473-24-000001	021-533940               	31-DEC-2024		X0708	D	LIVE		
0002050564-24-000001	021-533939               	31-DEC-2024		X0708	D	LIVE		
0002049096-24-000001	021-533938               	31-DEC-2024		X0708	D	LIVE		
0000950142-24-003046	021-143540               	31-DEC-2024		X0708	D/A	LIVE		
0002048371-24-000001	021-533937               	31-DEC-2024		X0708	D	LIVE		
0000950142-24-003045	021-146274               	31-DEC-2024		X0708	D/A	LIVE		
0002049165-24-000002	021-533936               	31-DEC-2024		X0708	D	LIVE		
0002026508-24-000002	021-533935               	31-DEC-2024		X0708	D	LIVE		
0001899779-24-000002	021-512742               	31-DEC-2024		X0708	D/A	LIVE		
0002050528-24-000001	021-533934               	31-DEC-2024		X0708	D	LIVE		
0002044100-24-000001	021-533933               	31-DEC-2024		X0708	D	LIVE		
0002050536-24-000001	021-533932               	31-DEC-2024		X0708	D	LIVE		
0002046500-24-000002	021-533931               	31-DEC-2024		X0708	D	LIVE		
0001376474-24-000751	021-523558               	31-DEC-2024		X0708	D/A	LIVE		
0002048150-24-000004	021-529917               	31-DEC-2024		X0708	D/A	LIVE		
0002036423-24-000001	021-533930               	31-DEC-2024		X0708	D	LIVE		
0002017506-24-000002	021-533929               	31-DEC-2024		X0708	D	LIVE		
0002048150-24-000003	021-533273               	31-DEC-2024		X0708	D/A	LIVE		
0002044369-24-000001	021-533928               	31-DEC-2024		X0708	D	LIVE		
0002050229-24-000001	021-533927               	31-DEC-2024		X0708	D	LIVE		
0001479419-24-000002	021-533926               	31-DEC-2024	2834	X0708	D	LIVE		
0001958062-24-000001	021-468698               	31-DEC-2024		X0708	D/A	LIVE		
0002049944-24-000001	021-533925               	31-DEC-2024		X0708	D	LIVE		
0002030772-24-000004	021-533924               	31-DEC-2024	6282	X0708	D	LIVE		
0000950142-24-003037	021-533923               	31-DEC-2024		X0708	D	LIVE		
0002049165-24-000001	021-533922               	31-DEC-2024		X0708	D	LIVE		
0002034331-24-000003	021-524367               	31-DEC-2024		X0708	D/A	LIVE		
0001493152-24-052701	021-533921               	31-DEC-2024	3674	X0708	D	LIVE		
0002049947-24-000002	021-533637               	31-DEC-2024		X0708	D/A	LIVE		
0001958057-24-000002	021-468693               	31-DEC-2024		X0708	D/A	LIVE		
