ACCESSIONNUMBER	IS_PRIMARYISSUER_FLAG	ISSUER_SEQ_KEY	CIK	ENTITYNAME	STREET1	STREET2	CITY	STATEORCOUNTRY	STATEORCOUNTRYDESCRIPTION	ZIPCODE	ISSUERPHONENUMBER	JURISDICTIONOFINC	ISSUER_PREVIOUSNAME_1	ISSUER_PREVIOUSNAME_2	ISSUER_PREVIOUSNAME_3	EDGAR_PREVIOUSNAME_1	EDGAR_PREVIOUSNAME_2	EDGAR_PREVIOUSNAME_3	ENTITYTYPE	ENTITYTYPEOTHERDESC	YEAROFINC_TIMESPAN_CHOICE	YEAROFINC_VALUE_ENTERED
0001932971-24-000001	YES	101	0001932971	Stonepeak Core Fund (Lux) SCSp	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	LUXEMBOURG							Other	Special Limited Partnership	withinFiveYears	2022
0002047909-24-000001	YES	101	0002047909	Dreamer Holdings, a series of Leonis Powerlaw Investments, LP	621 Stockton St	#305	San Francisco	CA	CALIFORNIA	94108	2068016359	DELAWARE							Limited Partnership		withinFiveYears	2024
0001960951-24-000001	YES	101	0001960951	BIOHM Health Inc.	425 LITERARY ROAD	SUITE 100	CLEVELAND	OH	OHIO	44113	216-233-7834	DELAWARE							Corporation		withinFiveYears	2022
0001932972-24-000001	YES	101	0001932972	Stonepeak Core Fund (C) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
0001932974-24-000001	YES	101	0001932974	Stonepeak Core Fund (B) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
0000950123-24-012437	YES	101	0000315032	STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	One State Farm Plaza		Bloomington	IL	ILLINOIS	61710	309-766-2311	ILLINOIS							Corporation		overFiveYears	
0000950123-24-012437	NO	104	0001692860	State Farm Florida Insurance Co	215 S. Monroe St.		Tallahassee	FL	FLORIDA	32301	850-577-5600	FLORIDA							Corporation		overFiveYears	
0000950123-24-012437	NO	106	0001692117	State Farm Lloyds	1251 State Street, Suite 1000		Richardson	TX	TEXAS	75082	972-732-5000	TEXAS							Corporation		overFiveYears	
0000950123-24-012437	NO	108	0001692861	State Farm Guaranty Insurance Co	300 Kimball Drive		Parisippany	NJ	NEW JERSEY	07054	973-739-5000	ILLINOIS							Corporation		overFiveYears	
0000950123-24-012437	NO	103	0001691852	State Farm General Insurance Co	One State Farm Plaza		Bloomington	IL	ILLINOIS	61710	309-766-2311	ILLINOIS							Corporation		overFiveYears	
0000950123-24-012437	NO	105	0001692838	State Farm Indemnity Co	300 Kimball Drive		Parisippany	NJ	NEW JERSEY	07054	973-739-5000	ILLINOIS							Corporation		overFiveYears	
0000950123-24-012437	NO	109	0002006707	State Farm Classic Insurance Co	One State Farm Plaza		Bloomington	IL	ILLINOIS	61710	309-766-2311	ILLINOIS							Corporation		withinFiveYears	2021
0000950123-24-012437	NO	107	0001692120	State Farm County Mutual Insurance Co of Texas	1251 State Street, Suite 1000		Richardson	TX	TEXAS	75082	972-732-5000	TEXAS							Corporation		overFiveYears	
0000950123-24-012437	NO	102	0000900390	STATE FARM FIRE & CASUALTY CO	One State Farm Plaza		Bloomington	IL	ILLINOIS	61710	309-766-2311	ILLINOIS							Corporation		overFiveYears	
0001932975-24-000001	YES	101	0001932975	Stonepeak Core Fund (A) LP	55 HUDSON YARDS	550 WEST 34TH STREET, 48TH FLOOR	NEW YORK	NY	NEW YORK	10001	(212) 907-5100	DELAWARE							Limited Partnership		withinFiveYears	2022
