ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001932971-24-000001	101	Stonepeak Core Fund (Lux) SCSp	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2024-12-31
0002047909-24-000001	101	Dreamer Holdings, a series of Leonis Powerlaw Investments, LP	JIE ZHAO	JIE ZHAO	Manager of the general partner of the Issuer	2024-12-31
0001960951-24-000001	101	BIOHM Health Inc.	Connor Gibbons	Connor Gibbons	Attorney-in-Fact	2024-12-31
0001932972-24-000001	101	Stonepeak Core Fund (C) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2024-12-31
0001932974-24-000001	101	Stonepeak Core Fund (B) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2024-12-31
0000950123-24-012437	101	STATE FARM MUTUAL AUTOMOBILE INSURANCE CO	Jon Farney	Jon Charles Farney	President	2024-12-30
0000950123-24-012437	107	State Farm Fire and Casualty Company	Jon Farney	Jon Charles Farney	President and Chief Executive Officer	2024-12-30
0000950123-24-012437	105	State Farm County Mutual Insurance Company of Texas	Rob Stewart	Robert Edward Stewart	President	2024-12-30
0000950123-24-012437	104	State Farm Lloyds	Rob Stewart	Robert Edward Stewart	President and Chief Executive Officer	2024-12-30
0000950123-24-012437	103	State Farm Florida Insurance Company	Allyson Watts	Allyson Berthelot Watts	President and Chief Executive Officer	2024-12-30
0000950123-24-012437	102	State Farm General Insurance Company	Dan Krause	Daniel Joseph Krause	President and Chief Executive Officer	2024-12-30
0000950123-24-012437	109	State Farm Classic Insurance Company	Chris Schell	Christopher Alexander Schell	President	2024-12-31
0000950123-24-012437	108	State Farm Guaranty Insurance Company	Lisa Stewart	Lisa Easters Stewart	President	2024-12-31
0000950123-24-012437	106	State Farm Indemnity Company	Lisa Stewart	Lisa Easters Stewart	President	2024-12-31
0001932975-24-000001	101	Stonepeak Core Fund (A) LP	/s/ Adrienne Saunders	Adrienne Saunders	Sr Managing Director, General Counsel and CCO of the GP	2024-12-31
0002050565-24-000001	101	CI V Co-invest Vehicle A SCSp	Jacob Christian Dyrvang	Jacob Christian Dyrvang	Authorised signatory of Issuer's General Partner	2024-12-31
0002048696-24-000001	101	8VC ADSG SPV, LLC	/s/ Joseph Lonsdale	Joseph Lonsdale	Managing Member of the Managing Member	2024-12-31
0002018994-24-000002	101	Fund LV, a series of SCVC Advisors, LP	Amrit Saxena	Amrit Saxena	Manager of the general partner of the Issuer	2024-12-31
0001984473-24-000001	101	Riverdale REIT Holdings LLC	Darryl Pinsker	Darryl Pinsker	Manager and Senior Vice President	2024-12-31
0002050564-24-000001	101	Copenhagen Infrastructure NMSIC Co-invest Vehicle I SCSp	Jacob Christian Dyrvang	Jacob Christian Dyrvang	Authorised signatory of the Issuer's General Partner	2024-12-31
0002049096-24-000001	101	Davidson Craven - NCIP, LLC	/s/ Jonathan T. Smith	Jonathan T. Smith	Manager	2024-12-31
0000950142-24-003046	101	Blackstone Secured Trust Ltd	/s/ Toula Bougiamas	Toula Bougiamas	Authorized Person	2024-12-31
0002048371-24-000001	101	North Carolina Industrial Partners LLC	/s/ Jonathan T. Smith	Jonathan T. Smith	Manager	2024-12-31
0000950142-24-003045	101	Blackstone Secured Trust Feeder LP	/s/ Toula Bougiamas	Toula Bougiamas	Authorized Signatory of the General Partner of the Issuer	2024-12-31
0002049165-24-000002	101	EA E3 Holdings, LP	/s/ Jensen Warnock	Jensen Warnock	Managing Member of the GP	2024-12-31
0002026508-24-000002	101	Samba, a series of Rhone VC, LP	Austin Walker	Austin Walker	Manager of the general partner of the Issuer	2024-12-31
0001899779-24-000002	101	Battle Financial, Inc.	/s/ Francis O. Trotter, III	Francis O. Trotter, III	President and Chief Executive Officer	2024-12-31
0002050528-24-000001	101	Ram Realty VII REIT	/s/ Karen D. Geller	Karen D. Geller	Vice President and Secretary	2024-12-31
0002044100-24-000001	101	Americanna Wellness, Inc.	/s/ Laurent Bentitou	Laurent Bentitou	Chief Executive Officer	2024-12-31
0002050536-24-000001	101	MDCP Co-Investors (Tango), L.P.	/S/ ANNIE S. TERRY	ANNIE S. TERRY	PARTNER, GENERAL COUNSEL & CCO OF GP OF GP OF ISSUER	2024-12-31
0002046500-24-000002	101	Gecko 2024, a series of Palumni VC MP, LP	Lioubov Lesiva	Lioubov Lesiva	Manager of the general partner of the Issuer	2024-12-31
0001376474-24-000751	101	SPIDR INC.	/s/ Mary Price	Mary Price	Secretary	2024-12-31
0002048150-24-000004	101	AUM-AZ-0822 Fund I, a series of AngelList Funds 2024, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002036423-24-000001	101	Summit Medical Transport, Inc.	/s/ Jadon Nardo	Jadon Nardo	President and CEO	2024-12-31
0002017506-24-000002	101	General Innovation Capital Partners Fund I, L.P.	/s/ Nicholas Hammerschlag	Nicholas Hammerschlag	The Managing Member of the GP's Managing Member	2024-12-31
0002048150-24-000003	101	OS-1025 Fund I, a series of Scrub Capital, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002044369-24-000001	101	Accel India VIII L.P.	/s/ Ryan Connor	Ryan Connor	Director of the GP of the GP	2024-12-31
0002050229-24-000001	101	Blackstone Infrastructure Strategies (TE) L.P.	/s/ Gregory Blank	Gregory Blank	Chief Executive Officer	2024-12-31
0001479419-24-000002	101	KALA BIO, Inc.	/s/ Mary Reumuth	Mary Reumuth	Chief Financial Officer	2024-12-31
0001958062-24-000001	101	Alta Point Capital Fund I Offshore, LP	/s/ David S. Young, Jr.	David S. Young, Jr.	Managing Member of the General Partner	2024-12-31
0002049944-24-000001	101	8os Inc.	/s/ ETHAN BOND	ETHAN BOND	CEO	2024-12-31
0002030772-24-000004	101	Blackstone Infrastructure Strategies L.P.	/s/ Gregory Blank	Gregory Blank	Chief Executive Officer	2024-12-31
0000950142-24-003037	101	Apollo S3 Private Markets IDF, LP	/s/ William B. Kuesel	William B. Kuesel	Executive Officer of the GP of the GP of the Issuer	2024-12-31
0002049165-24-000001	101	Balerion Space Ventures Fund II (Onshore Parallel), L.P.	/s/ Philip Scully	Philip Scully	Sole Member of the General Partner of the Issuer	2024-12-31
0002034331-24-000003	101	Links Car Wash Opportunity Fund, LLC	/s/ Ryan Hanks	Ryan Hanks	Manager of the Managing Entity of the Issuer	2024-12-31
0001493152-24-052701	101	SmartKem, Inc.	/s/ Barbra Keck	Barbra Keck	Chief Financial Officer	2024-12-31
0002049947-24-000002	101	Topo Therapeutics, Inc.	Magdalene Moran	Magdalene Moran	Chief Executive Officer	2024-12-31
0001958057-24-000002	101	Alta Point Capital Fund I, LP	/s/ David S. Young, Jr.	David S. Young, Jr.	Managing Member of the General Partner	2024-12-31
