ACCESSIONNUMBER	INDUSTRYGROUPTYPE	INVESTMENTFUNDTYPE	IS40ACT	REVENUERANGE	AGGREGATENETASSETVALUERANGE	FEDERALEXEMPTIONS_ITEMS_LIST	ISAMENDMENT	PREVIOUSACCESSIONNUMBER	SALE_DATE	YETTOOCCUR	MORETHANONEYEAR	ISEQUITYTYPE	ISDEBTTYPE	ISOPTIONTOACQUIRETYPE	ISSECURITYTOBEACQUIREDTYPE	ISPOOLEDINVESTMENTFUNDTYPE	ISTENANTINCOMMONTYPE	ISMINERALPROPERTYTYPE	ISOTHERTYPE	DESCRIPTIONOFOTHERTYPE	ISBUSINESSCOMBINATIONTRANS	BUSCOMBCLARIFICATIONOFRESP	MINIMUMINVESTMENTACCEPTED	OVER100RECIPIENTFLAG	TOTALOFFERINGAMOUNT	TOTALAMOUNTSOLD	TOTALREMAINING	SALESAMTCLARIFICATIONOFRESP	HASNONACCREDITEDINVESTORS	NUMBERNONACCREDITEDINVESTORS	TOTALNUMBERALREADYINVESTED	SALESCOMM_DOLLARAMOUNT	SALESCOMM_ISESTIMATE	FINDERSFEE_DOLLARAMOUNT	FINDERSFEE_ISESTIMATE	FINDERFEECLARIFICATIONOFRESP	GROSSPROCEEDSUSED_DOLLARAMOUNT	GROSSPROCEEDSUSED_ISESTIMATE	GROSSPROCEEDSUSED_CLAROFRESP	AUTHORIZEDREPRESENTATIVE
0001932971-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001932971-23-000001	2023-03-09		true					true					false		0		Indefinite	3707901965	Indefinite	Total amount sold includes sales of (and contingent commitments to) Stonepeak Core Fund (A) LP, Stonepeak Core Fund (B) LP, Stonepeak Core Fund (C) LP and Stonepeak Core Fund (Lux) SCSp and certain co-investment vehicles and parallel funds thereof.	false		5	0		0			0			false
0002047909-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-20		false					true					false		1000		201000	201000	0		false		2	0		0			0		The agent of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.	false
0001960951-24-000001	Other			Decline to Disclose		06b	false		2024-12-17		false	true									false		0		4000000	3019118	980882		false		8	0		0			0			false
0001932972-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001932972-23-000001	2022-06-30		true					true					false		0		Indefinite	3707901965	Indefinite	Total amount sold includes sales of (and contingent commitments to) Stonepeak Core Fund (A) LP, Stonepeak Core Fund (B) LP, Stonepeak Core Fund (C) LP and Stonepeak Core Fund (Lux) SCSp and certain co-investment vehicles and parallel funds thereof.	false		12	99000	true	0			0			false
0001932974-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001932974-23-000001	2022-07-08		true					true					false		0		Indefinite	3707901965	Indefinite	Total amount sold includes sales of (and contingent commitments to) Stonepeak Core Fund (A) LP, Stonepeak Core Fund (B) LP, Stonepeak Core Fund (C) LP and Stonepeak Core Fund (Lux) SCSp and certain co-investment vehicles and parallel funds thereof.	false		7	0		0			0			false
0000950123-24-012437	Insurance			Decline to Disclose		06b	true	0001209191-24-001596	2017-01-01		true								true	Participant interests in Issuers Deferred Compensation Program	false		0		Indefinite	83410876	Indefinite		false		2213	0		0			0			false
0001932975-24-000001	Pooled Investment Fund	Private Equity Fund	false	Decline to Disclose		06b, 3C, 3C.7	true	0001932975-23-000001	2022-06-30		true					true					false		0		Indefinite	3707901965	Indefinite	Total amount sold includes sales of (and contingent commitments to) Stonepeak Core Fund (A) LP, Stonepeak Core Fund (B) LP, Stonepeak Core Fund (C) LP and Stonepeak Core Fund (Lux) SCSp and certain co-investment vehicles and parallel funds thereof.	false		9	21000	true	0			0			false
0002050565-24-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c, 3C, 3C.1, 3C.7	false			true	true	true				true					false		0		Indefinite	0	Indefinite		false		0	0		0			0	true	The manager is entitled to an arm's length remuneration, which is fully disclosed in the governing documentation of the fund.	false
0002048696-24-000001	Pooled Investment Fund	Venture Capital Fund	false	Not Applicable		06b, 3C, 3C.7	false		2024-12-26		false					true					false		0		40960000	40960000	0		false		2	0		0			0			false
0002018994-24-000002	Pooled Investment Fund	Venture Capital Fund	false	Decline to Disclose		06b, 3C, 3C.1	false		2024-12-24		false					true					false		683		185766	185766	0		false		81	0		0			0		The agent of the general partner of the Issuer will receive a portion of a management fee as specified in the Issuer's partnership agreement.	false
0001984473-24-000001	REITS and Finance			Decline to Disclose		06b, 3C, 3C.7	false		2024-12-18		false					true					false		25000		1225000	1225000	0		false		15	0		0			0			false
0002050564-24-000001	Pooled Investment Fund	Other Investment Fund	false		Decline to Disclose	06c, 3C, 3C.7	false		2024-12-16		true	true				true					false		0		Indefinite	75000000	Indefinite		false		1	0		0			0			false
0002049096-24-000001	Commercial			Decline to Disclose		06b	false		2024-12-19		false	true									false		0		3000000	3000000	0		false		18	0		0			0			false
0000950142-24-003046	Pooled Investment Fund	Hedge Fund	false		Decline to Disclose	06b, 3C, 3C.7	true	0000950142-23-003074	2010-06-01		true	true				true					false		100000		Indefinite	4117078620	Indefinite		false		232	1327126	true	0		Includes amount accrued but not yet paid.	0		Customary management fees will be paid to Blackstone Liquid Credit Strategies LLC, an entity related to certain individuals listed in Item 3 above, as described in the Issuer's Confidential Private Placement Memorandum.	false
